nombre,anio
Física Ⅰ, 1
Análisis Matemático Ⅰ,1
Inglés Básico,1
Álgebra Ⅰ,1
Problemas de Historia del Siglo ⅩⅩ,1
Introducción a la Acústica y Psicoacústica,1
Taller de Introducción a la Problemática del Mundo Contemporáneo,1
Computación,1
Física ⅠⅠ,1
Análisis Matemático ⅠⅠ,1
Grabación Ⅰ,1
Inglés Técnico,1
Álgebra ⅠⅠ,1
Cultura Contemporánea,1
Cuestiones de Sociología, Economía y Política,1
Análisis Matemático ⅠⅠⅠ,2
Electricidad y Magnetismo,2
Dibujo Técnico Asistido por Computadora,2
Acústica y Psicoacústica Ⅰ,2
Probabilidad y Estadística Ⅰ,2
Laboratorio de Electrónica Ⅰ,2
Señales y Sistemas,2
Grabación ⅠⅠ,2
Administración Estratégica de Empresas,3
Laboratorio de Electrónica ⅠⅠ,3
Acústica y Psicoacústica ⅠⅠ,3
Procesamiento Digital de Señales,3
Circuitos Electrónicos Ⅰ,3
Electroacústica Ⅰ,3
Grabación ⅠⅠⅠ,3
Legislación y Recursos Humanos,4
Electroacústica ⅠⅠ,4
Comunicaciones,4
Instrumentos y Mediciones Acústicas,4
Mastering y Post Producción de Sonido,4
Circuitos Electrónicos ⅠⅠ,4
Audio Digital,4
Metodología de la Investigación Científica,5
Laboratorio de Acústica,5
Ruido Acústico,5
Sonido en Vivo,5
Práctica Profesional,5
Instrumentos y Mediciones Electrónicas,5
Trabajo de Tesis,5
Algebra IV,4